"replist1" "replist2" "replist3" "replist4" "replist5" "replist6" "replist7" "replist8" "replist9" "replist10" "replist11" "replist12" "replist13" "replist14" "replist15" "replist16" "replist17" "replist18" "replist19" "replist20" "replist21" "replist22" "replist23" "replist24" "replist25" "replist26" "replist27" "replist28" "replist29" "replist30" "replist31" "replist32" "replist33" "replist34" "replist35" "replist36" "replist37" "replist38" "replist39" "replist40" "replist41" "replist42" "replist43" "replist44" "replist45" "replist46" "replist47" "replist48" "replist49" "replist50" "Label"
"1" 367.455 365.042 365.042 365.042 365.042 366.324 365.042 373.1 367.196 366.015 366.91 365.042 365.042 365.823 365.042 365.042 365.042 373.622 365.042 365.042 366.324 365.042 365.042 365.042 365.829 365.042 365.042 365.042 365.042 365.042 374.624 365.042 366.91 365.042 365.823 365.042 365.042 365.042 365.829 365.042 365.042 365.042 365.823 365.042 365.829 365.042 365.042 365.829 365.042 365.042 "TOTAL"
"2" 2.70834e-07 8.01622e-08 8.01619e-08 8.0162e-08 8.01619e-08 1.67969e-07 8.01621e-08 3.19721e-06 2.49239e-05 1.60522e-07 2.16879e-07 8.0162e-08 8.01621e-08 1.82109e-07 8.0162e-08 8.01621e-08 8.0162e-08 1.41321e-05 8.01621e-08 8.01621e-08 1.67969e-07 8.0162e-08 8.01621e-08 8.01621e-08 1.82783e-07 8.01621e-08 8.01622e-08 8.01621e-08 8.01618e-08 8.01621e-08 1.79827e-05 8.0162e-08 2.16879e-07 8.01621e-08 1.82109e-07 8.0162e-08 8.01621e-08 8.0162e-08 1.82783e-07 8.01621e-08 8.0162e-08 8.0162e-08 1.82109e-07 8.01619e-08 1.82783e-07 8.0162e-08 8.0162e-08 1.82783e-07 8.0162e-08 8.01621e-08 "Catch"
"3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "Equil_catch"
"4" 22.7611 21.7198 21.7198 21.7198 21.7198 22.3713 21.7198 26.9196 23.5701 22.5935 22.5699 21.7198 21.7198 22.9989 21.7198 21.7198 21.7198 30.6853 21.7198 21.7198 22.3713 21.7198 21.7198 21.7198 22.998 21.7198 21.7198 21.7198 21.7198 21.7198 31.7263 21.7198 22.5699 21.7198 22.9989 21.7198 21.7198 21.7198 22.998 21.7198 21.7198 21.7198 22.9989 21.7198 22.998 21.7198 21.7198 22.998 21.7198 21.7198 "Survey"
"5" 349.616 348.184 348.184 348.184 348.184 348.843 348.184 351.392 348.594 348.28 349.253 348.184 348.184 347.662 348.184 348.184 348.184 348.691 348.184 348.184 348.843 348.184 348.184 348.184 347.667 348.184 348.184 348.184 348.184 348.184 348.738 348.184 349.253 348.184 347.662 348.184 348.184 348.184 347.667 348.184 348.184 348.184 347.662 348.184 347.667 348.184 348.184 347.667 348.184 348.184 "Length_comp"
"6" -4.93575 -4.87027 -4.87027 -4.87027 -4.87027 -4.90354 -4.87027 -5.21912 -4.98312 -4.87172 -4.92073 -4.87027 -4.87027 -4.84611 -4.87027 -4.87027 -4.87027 -5.76154 -4.87027 -4.87027 -4.90354 -4.87027 -4.87027 -4.87027 -4.84694 -4.87027 -4.87027 -4.87027 -4.87027 -4.87027 -5.84821 -4.87027 -4.92073 -4.87027 -4.84611 -4.87027 -4.87027 -4.87027 -4.84694 -4.87027 -4.87027 -4.87027 -4.84611 -4.87027 -4.84694 -4.87027 -4.87027 -4.84694 -4.87027 -4.87027 "Recruitment"
"7" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.68284e-32 0 0 0 0 0 0 0 0 0 6.68284e-32 6.68284e-32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "InitEQ_Regime"
"8" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "Forecast_Recruitment"
"9" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "Parm_priors"
"10" 0.0136585 0.00843448 0.00843447 0.00843446 0.00843446 0.0129093 0.00843447 0.00764389 0.014975 0.0134247 0.0077045 0.00843448 0.00843448 0.00833048 0.00843446 0.00843446 0.00843448 0.00785542 0.00843449 0.00843446 0.0129093 0.00843445 0.00843448 0.00843448 0.0114809 0.00843448 0.00843448 0.00843448 0.00843445 0.00843449 0.00786013 0.00843448 0.0077045 0.00843449 0.00833047 0.00843448 0.00843445 0.00843449 0.0114809 0.00843446 0.00843448 0.00843448 0.00833047 0.00843449 0.0114809 0.00843447 0.00843446 0.0114809 0.00843449 0.00843451 "Parm_softbounds"
"11" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "Parm_devs"
"12" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "Crash_Pen"
