"replist1" "replist2" "replist3" "replist4" "replist5" "replist6" "replist7" "replist8" "replist9" "replist10" "replist11" "replist12" "replist13" "replist14" "replist15" "replist16" "replist17" "replist18" "replist19" "replist20" "replist21" "replist22" "replist23" "replist24" "replist25" "replist26" "replist27" "replist28" "replist29" "replist30" "replist31" "replist32" "replist33" "replist34" "replist35" "replist36" "replist37" "replist38" "replist39" "replist40" "replist41" "replist42" "replist43" "replist44" "replist45" "replist46" "replist47" "replist48" "replist49" "replist50" "Label" "Yr" "recdev"
"1" 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 "NatM_Lorenzen_Fem_GP_1" NA FALSE
"2" 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 "L_at_Amin_Fem_GP_1" NA FALSE
"3" 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 76 "L_at_Amax_Fem_GP_1" NA FALSE
"4" 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 0.53 "VonBert_K_Fem_GP_1" NA FALSE
"5" 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 "CV_young_Fem_GP_1" NA FALSE
"6" 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 "CV_old_Fem_GP_1" NA FALSE
"7" 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 "Wtlen_1_Fem_GP_1" NA FALSE
"8" 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 3.253 "Wtlen_2_Fem_GP_1" NA FALSE
"9" 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 "Mat50%_Fem_GP_1" NA FALSE
"10" -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 -0.226495 "Mat_slope_Fem_GP_1" NA FALSE
"11" 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 7.48e-06 "Eggs_scalar_Fem_GP_1" NA FALSE
