"replist1" "replist2" "replist3" "replist4" "replist5" "replist6" "replist7" "replist8" "replist9" "replist10" "replist11" "replist12" "replist13" "replist14" "replist15" "replist16" "replist17" "replist18" "replist19" "replist20" "replist21" "replist22" "replist23" "replist24" "replist25" "replist26" "replist27" "replist28" "replist29" "replist30" "replist31" "replist32" "replist33" "replist34" "replist35" "replist36" "replist37" "replist38" "replist39" "replist40" "replist41" "replist42" "replist43" "replist44" "replist45" "replist46" "replist47" "replist48" "replist49" "replist50" "Label" "Yr"
"1" 200862 210495 210495 210495 210495 204462 210495 184649 195781 204651 202514 210495 210495 203492 210495 210495 210495 177179 210495 210495 204462 210495 210495 210495 203467 210495 210495 210495 210495 210495 175903 210495 202514 210495 203493 210495 210495 210495 203467 210495 210495 210495 203492 210495 203467 210495 210495 203467 210495 210495 "SSB_Virgin" NA
"2" 200862 210495 210495 210495 210495 204462 210495 184649 195781 204651 202514 210495 210495 203492 210495 210495 210495 177179 210495 210495 204462 210495 210495 210495 203467 210495 210495 210495 210495 210495 175903 210495 202514 210495 203493 210495 210495 210495 203467 210495 210495 210495 203492 210495 203467 210495 210495 203467 210495 210495 "SSB_Initial" NA
"3" 200862 210495 210495 210495 210495 204462 210495 184649 195781 204651 202514 210495 210495 203492 210495 210495 210495 177179 210495 210495 204462 210495 210495 210495 203467 210495 210495 210495 210495 210495 175903 210495 202514 210495 203493 210495 210495 210495 203467 210495 210495 210495 203492 210495 203467 210495 210495 203467 210495 210495 "SSB_1952" 1952
"4" 199557 209189 209189 209189 209189 203156 209189 183348 194478 203346 201209 209189 209189 202187 209189 209189 209189 175880 209189 209189 203156 209189 209189 209189 202161 209189 209189 209189 209189 209189 174604 209189 201209 209189 202187 209189 209189 209189 202161 209189 209189 209189 202187 209189 202161 209189 209189 202161 209189 209189 "SSB_1953" 1953
"5" 198475 208104 208104 208104 208104 202073 208104 182269 193397 202262 200126 208104 208104 201104 208104 208104 208104 174804 208104 208104 202073 208104 208104 208104 201078 208104 208104 208104 208104 208104 173529 208104 200126 208104 201104 208104 208104 208104 201078 208104 208104 208104 201104 208104 201078 208104 208104 201078 208104 208104 "SSB_1954" 1954
"6" 197588 207216 207216 207216 207216 201186 207216 181386 192512 201374 199239 207216 207216 200217 207216 207216 207216 173923 207216 207216 201186 207216 207216 207216 200191 207216 207216 207216 207216 207216 172649 207216 199239 207216 200217 207216 207216 207216 200191 207216 207216 207216 200217 207216 200191 207216 207216 200191 207216 207216 "SSB_1955" 1955
"7" 196925 206551 206551 206551 206551 200522 206551 180725 191850 200710 198575 206551 206551 199553 206551 206551 206551 173265 206551 206551 200522 206551 206551 206551 199527 206551 206551 206551 206551 206551 171990 206551 198575 206551 199553 206551 206551 206551 199527 206551 206551 206551 199553 206551 199527 206551 206551 199527 206551 206551 "SSB_1956" 1956
"8" 196345 205969 205969 205969 205969 199941 205969 180148 191270 200130 197995 205969 205969 198972 205969 205969 205969 172688 205969 205969 199941 205969 205969 205969 198946 205969 205969 205969 205969 205969 171414 205969 197995 205969 198972 205969 205969 205969 198946 205969 205969 205969 198972 205969 198946 205969 205969 198946 205969 205969 "SSB_1957" 1957
"9" 195458 205081 205081 205081 205081 199053 205081 179264 190385 199242 197108 205081 205081 198085 205081 205081 205081 171807 205081 205081 199053 205081 205081 205081 198059 205081 205081 205081 205081 205081 170533 205081 197108 205081 198085 205081 205081 205081 198059 205081 205081 205081 198085 205081 198059 205081 205081 198059 205081 205081 "SSB_1958" 1958
"10" 195118 204740 204740 204740 204740 198713 204740 178926 190046 198902 196768 204740 204740 197745 204740 204740 204740 171470 204740 204740 198713 204740 204740 204740 197719 204740 204740 204740 204740 204740 170196 204740 196768 204740 197745 204740 204740 204740 197719 204740 204740 204740 197745 204740 197719 204740 204740 197719 204740 204740 "SSB_1959" 1959
"11" 194709 204331 204331 204331 204331 198305 204331 178519 189638 198493 196359 204331 204331 197336 204331 204331 204331 171064 204331 204331 198305 204331 204331 204331 197310 204331 204331 204331 204331 204331 169791 204331 196359 204331 197336 204331 204331 204331 197310 204331 204331 204331 197336 204331 197310 204331 204331 197310 204331 204331 "SSB_1960" 1960
"12" 192900 202519 202519 202519 202519 196494 202519 176715 187831 196683 194549 202519 202519 195526 202519 202519 202519 169264 202519 202519 196494 202519 202519 202519 195500 202519 202519 202519 202519 202519 167991 202519 194549 202519 195526 202519 202519 202519 195500 202519 202519 202519 195526 202519 195500 202519 202519 195500 202519 202519 "SSB_1961" 1961
"13" 191465 201081 201081 201081 201081 195058 201081 175286 186399 195247 193114 201081 201081 194090 201081 201081 201081 167839 201081 201081 195058 201081 201081 201081 194064 201081 201081 201081 201081 201081 166567 201081 193114 201081 194090 201081 201081 201081 194064 201081 201081 201081 194090 201081 194064 201081 201081 194064 201081 201081 "SSB_1962" 1962
"14" 191737 201352 201352 201352 201352 195330 201352 175561 186671 195518 193386 201352 201352 194362 201352 201352 201352 168115 201352 201352 195330 201352 201352 201352 194336 201352 201352 201352 201352 201352 166844 201352 193386 201352 194362 201352 201352 201352 194336 201352 201352 201352 194362 201352 194336 201352 201352 194336 201352 201352 "SSB_1963" 1963
"15" 189752 199357 199357 199357 199357 193341 199357 173599 184692 193529 191399 199357 199357 192374 199357 199357 199357 166168 199357 199357 193341 199357 199357 199357 192348 199357 199357 199357 199357 199357 164900 199357 191399 199357 192374 199357 199357 199357 192348 199357 199357 199357 192374 199357 192348 199357 199357 192348 199357 199357 "SSB_1964" 1964
"16" 186894 196485 196485 196485 196485 190478 196485 170773 181841 190666 188539 196485 196485 189512 196485 196485 196485 163362 196485 196485 190478 196485 196485 196485 189487 196485 196485 196485 196485 196485 162097 196485 188539 196485 189512 196485 196485 196485 189487 196485 196485 196485 189512 196485 189487 196485 196485 189487 196485 196485 "SSB_1965" 1965
"17" 188710 198306 198306 198306 198306 192295 198306 172578 183654 192483 190355 198306 198306 191329 198306 198306 198306 165160 198306 198306 192295 198306 198306 198306 191303 198306 198306 198306 198306 198306 163894 198306 190355 198306 191329 198306 198306 198306 191303 198306 198306 198306 191329 198306 191303 198306 198306 191303 198306 198306 "SSB_1966" 1966
"18" 190190 199793 199793 199793 199793 193778 199793 174043 185142 193966 191837 199793 199793 192812 199793 199793 199793 166617 199793 199793 193778 199793 199793 199793 192786 199793 199793 199793 199793 199793 165349 199793 191837 199793 192812 199793 199793 199793 192786 199793 199793 199793 192812 199793 192786 199793 199793 192786 199793 199793 "SSB_1967" 1967
"19" 190283 199889 199889 199889 199889 193872 199889 174127 185241 194061 191930 199889 199889 192905 199889 199889 199889 166695 199889 199889 193872 199889 199889 199889 192879 199889 199889 199889 199889 199889 165426 199889 191930 199889 192905 199889 199889 199889 192879 199889 199889 199889 192905 199889 192879 199889 199889 192879 199889 199889 "SSB_1968" 1968
"20" 190442 200051 200051 200051 200051 194032 200051 174281 185405 194221 192090 200051 200051 193065 200051 200051 200051 166845 200051 200051 194032 200051 200051 200051 193039 200051 200051 200051 200051 200051 165576 200051 192090 200051 193065 200051 200051 200051 193039 200051 200051 200051 193065 200051 193039 200051 200051 193039 200051 200051 "SSB_1969" 1969
"21" 191389 201001 201001 201001 201001 194980 201001 175220 186354 195169 193037 201001 201001 194013 201001 201001 201001 167780 201001 201001 194980 201001 201001 201001 193987 201001 201001 201001 201001 201001 166510 201001 193037 201001 194013 201001 201001 201001 193987 201001 201001 201001 194013 201001 193987 201001 201001 193987 201001 201001 "SSB_1970" 1970
"22" 191560 201173 201173 201173 201173 195152 201173 175388 186547 195340 193208 201173 201173 194184 201173 201173 201173 167945 201173 201173 195152 201173 201173 201173 194158 201173 201173 201173 201173 201173 166675 201173 193208 201173 194184 201173 201173 201173 194158 201173 201173 201173 194184 201173 194158 201173 201173 194158 201173 201173 "SSB_1971" 1971
"23" 192177 201793 201793 201793 201793 195770 201793 176002 187179 195959 193826 201793 201793 194802 201793 201793 201793 168557 201793 201793 195770 201793 201793 201793 194776 201793 201793 201793 201793 201793 167286 201793 193826 201793 194802 201793 201793 201793 194776 201793 201793 201793 194802 201793 194776 201793 201793 194776 201793 201793 "SSB_1972" 1972
"24" 192690 202306 202306 202306 202306 196283 202306 176513 187702 196472 194339 202306 202306 195315 202306 202306 202306 169067 202306 202306 196283 202306 202306 202306 195289 202306 202306 202306 202306 202306 167796 202306 194339 202306 195315 202306 202306 202306 195289 202306 202306 202306 195315 202306 195289 202306 202306 195289 202306 202306 "SSB_1973" 1973
"25" 192587 202203 202203 202203 202203 196180 202203 176411 187642 196369 194236 202203 202203 195212 202203 202203 202203 168966 202203 202203 196180 202203 202203 202203 195186 202203 202203 202203 202203 202203 167694 202203 194236 202203 195212 202203 202203 202203 195186 202203 202203 202203 195212 202203 195186 202203 202203 195186 202203 202203 "SSB_1974" 1974
"26" 191480 201094 201094 201094 201094 195072 201094 175307 186544 195261 193129 201094 201094 194105 201094 201094 201094 167864 201094 201094 195072 201094 201094 201094 194079 201094 201094 201094 201094 201094 166593 201094 193129 201094 194105 201094 201094 201094 194079 201094 201094 201094 194105 201094 194079 201094 201094 194079 201094 201094 "SSB_1975" 1975
"27" 190578 200190 200190 200190 200190 194169 200190 174409 185633 194358 192226 200190 200190 193202 200190 200190 200190 166968 200190 200190 194169 200190 200190 200190 193176 200190 200190 200190 200190 200190 165698 200190 192226 200190 193202 200190 200190 200190 193176 200190 200190 200190 193202 200190 193176 200190 200190 193176 200190 200190 "SSB_1976" 1976
"28" 189379 198988 198988 198988 198988 192969 198988 173217 184420 193158 191027 198988 198988 192002 198988 198988 198988 165782 198988 198988 192969 198988 198988 198988 191976 198988 198988 198988 198988 198988 164512 198988 191027 198988 192002 198988 198988 198988 191976 198988 198988 198988 192002 198988 191976 198988 198988 191976 198988 198988 "SSB_1977" 1977
"29" 189191 198798 198798 198798 198798 192781 198798 173032 184217 192969 190838 198798 198798 191814 198798 198798 198798 165598 198798 198798 192781 198798 198798 198798 191788 198798 198798 198798 198798 198798 164329 198798 190838 198798 191814 198798 198798 198798 191788 198798 198798 198798 191814 198798 191788 198798 198798 191788 198798 198798 "SSB_1978" 1978
"30" 187574 197174 197174 197174 197174 191161 197174 171431 182602 191350 189220 197174 197174 190196 197174 197174 197174 164007 197174 197174 191161 197174 197174 197174 190170 197174 197174 197174 197174 197174 162741 197174 189220 197174 190196 197174 197174 197174 190170 197174 197174 197174 190196 197174 190170 197174 197174 190170 197174 197174 "SSB_1979" 1979
"31" 185374 194967 194967 194967 194967 188959 194967 169254 180408 189151 187020 194967 194967 188001 194967 194967 194967 161843 194967 194967 188959 194967 194967 194967 187975 194967 194967 194967 194967 194967 160586 194967 187020 194967 188001 194967 194967 194967 187975 194967 194967 194967 188001 194967 187975 194967 194967 187975 194967 194967 "SSB_1980" 1980
"32" 176223 185792 185792 185792 185792 179799 185792 160152 171264 179989 177864 185792 185792 178841 185792 185792 185792 152771 185792 185792 179799 185792 185792 185792 178815 185792 185792 185792 185792 185792 151519 185792 177864 185792 178841 185792 185792 185792 178815 185792 185792 185792 178841 185792 178815 185792 185792 178815 185792 185792 "SSB_1981" 1981
"33" 157935 167446 167446 167446 167446 161489 167446 141981 153021 161678 159566 167446 167446 160538 167446 167446 167446 134673 167446 167446 161489 167446 167446 167446 160512 167446 167446 167446 167446 167446 133435 167446 159566 167446 160538 167446 167446 167446 160512 167446 167446 167446 160538 167446 160512 167446 167446 160512 167446 167446 "SSB_1982" 1982
"34" 134100 143507 143507 143507 143507 137613 143507 118356 129269 137799 135711 143507 143507 136670 143507 143507 143507 111174 143507 143507 137613 143507 143507 143507 136644 143507 143507 143507 143507 143507 109958 143507 135711 143507 136670 143507 143507 143507 136644 143507 143507 143507 136670 143507 136644 143507 143507 136644 143507 143507 "SSB_1983" 1983
"35" 118130 127453 127453 127453 127453 121610 127453 102563 113381 121795 119727 127453 127453 120676 127453 127453 127453 95483.9 127453 127453 121610 127453 127453 127453 120651 127453 127453 127453 127453 127453 94288.2 127453 119727 127453 120676 127453 127453 127453 120651 127453 127453 127453 120676 127453 120651 127453 127453 120651 127453 127453 "SSB_1984" 1984
"36" 108500 117798 117798 117798 117798 111970 117798 92989.2 103809 112153 110092 117798 117798 111037 117798 117798 117798 85948.8 117798 117798 111970 117798 117798 117798 111012 117798 117798 117798 117798 117798 84759.8 117798 110092 117798 111037 117798 117798 117798 111012 117798 117798 117798 111037 117798 111012 117798 117798 111012 117798 117798 "SSB_1985" 1985
"37" 92043.4 101284 101284 101284 101284 95490.6 101284 76651.5 87384.1 95672.4 93624.5 101284 101284 94562.7 101284 101284 101284 69685.7 101284 101284 95490.6 101284 101284 101284 94537.8 101284 101284 101284 101284 101284 68510.4 101284 93624.5 101284 94562.7 101284 101284 101284 94537.8 101284 101284 101284 94562.7 101284 94537.8 101284 101284 94537.8 101284 101284 "SSB_1986" 1986
"38" 85991.1 95283.3 95283.3 95283.3 95283.3 89458.3 95283.3 70499.2 81349.6 89641 87581.5 95283.3 95283.3 88524.9 95283.3 95283.3 95283.3 63485.2 95283.3 95283.3 89458.3 95283.3 95283.3 95283.3 88499.9 95283.3 95283.3 95283.3 95283.3 95283.3 62302.1 95283.3 87581.5 95283.3 88524.9 95283.3 95283.3 95283.3 88499.9 95283.3 95283.3 95283.3 88524.9 95283.3 88499.9 95283.3 95283.3 88499.9 95283.3 95283.3 "SSB_1987" 1987
"39" 88269.6 97775.6 97775.6 97775.6 97775.6 91820.6 97775.6 72331 83479 92007.5 89899 97775.6 97775.6 90864.8 97775.6 97775.6 97775.6 65065.9 97775.6 97775.6 91820.6 97775.6 97775.6 97775.6 90839.2 97775.6 97775.6 97775.6 97775.6 97775.6 63836.6 97775.6 89899 97775.6 90864.8 97775.6 97775.6 97775.6 90839.2 97775.6 97775.6 97775.6 90864.8 97775.6 90839.2 97775.6 97775.6 90839.2 97775.6 97775.6 "SSB_1988" 1988
"40" 90801.4 100534 100534 100534 100534 94441.4 100534 74377.3 85858.5 94632.5 92472.4 100534 100534 93461.7 100534 100534 100534 66831.8 100534 100534 94441.4 100534 100534 100534 93435.5 100534 100534 100534 100534 100534 65549.7 100534 92472.4 100534 93461.7 100534 100534 100534 93435.5 100534 100534 100534 93461.7 100534 93435.5 100534 100534 93435.5 100534 100534 "SSB_1989" 1989
"41" 90522.7 100405 100405 100405 100405 94221.8 100405 73767.1 85489.8 94415.6 92221.3 100405 100405 93226 100405 100405 100405 66024.4 100405 100405 94221.8 100405 100405 100405 93199.3 100405 100405 100405 100405 100405 64704.4 100405 92221.3 100405 93226 100405 100405 100405 93199.3 100405 100405 100405 93226 100405 93199.3 100405 100405 93199.3 100405 100405 "SSB_1990" 1990
"42" 90535 100526 100526 100526 100526 94277.8 100526 73527.8 85437.1 94473.7 92254.2 100526 100526 93270.4 100526 100526 100526 65628.5 100526 100526 94277.8 100526 100526 100526 93243.4 100526 100526 100526 100526 100526 64278.2 100526 92254.2 100526 93270.4 100526 100526 100526 93243.4 100526 100526 100526 93270.4 100526 93243.4 100526 100526 93243.4 100526 100526 "SSB_1991" 1991
"43" 84911.3 94926.2 94926.2 94926.2 94926.2 88664.2 94926.2 67829.7 79816.6 88860.7 86635.3 94926.2 94926.2 87654.4 94926.2 94926.2 94926.2 59873.5 94926.2 94926.2 88664.2 94926.2 94926.2 94926.2 87627.3 94926.2 94926.2 94926.2 94926.3 94926.2 58511.6 94926.2 86635.3 94926.2 87654.4 94926.2 94926.2 94926.2 87627.3 94926.2 94926.2 94926.2 87654.4 94926.2 87627.3 94926.2 94926.2 87627.3 94926.2 94926.2 "SSB_1992" 1992
"44" 82689.2 92758.2 92758.3 92758.3 92758.3 86464.4 92758.3 65463.3 77556.6 86661.9 84423.8 92758.3 92758.3 85448.6 92758.3 92758.3 92758.3 57403.7 92758.3 92758.3 86464.4 92758.3 92758.3 92758.3 85421.4 92758.3 92758.2 92758.3 92758.3 92758.3 56020.6 92758.3 84423.8 92758.3 85448.6 92758.3 92758.3 92758.3 85421.4 92758.3 92758.3 92758.3 85448.6 92758.3 85421.4 92758.3 92758.3 85421.4 92758.3 92758.3 "SSB_1993" 1993
"45" 76776.1 86518.5 86518.5 86518.5 86518.5 80429.3 86518.5 60071.2 71645.4 80618.4 78454.7 86518.5 86518.5 79439.7 86518.5 86518.5 86518.5 52195.5 86518.5 86518.5 80429.3 86518.5 86518.5 86518.5 79413.5 86518.5 86518.5 86518.5 86518.5 86518.5 50843.7 86518.5 78454.7 86518.5 79439.7 86518.5 86518.5 86518.5 79413.5 86518.5 86518.5 86518.5 79439.7 86518.5 79413.5 86518.5 86518.5 79413.5 86518.5 86518.5 "SSB_1994" 1994
"46" 71328.2 80180.5 80180.5 80180.5 80180.5 74648.1 80180.5 56118.2 66441.8 74824.7 72853.6 80180.5 80180.5 73754.8 80180.5 80180.5 80180.5 48798 80180.5 80180.5 74648.1 80180.5 80180.5 80180.5 73731 80180.5 80180.5 80180.5 80180.6 80180.5 47549.3 80180.5 72853.6 80180.5 73754.8 80180.5 80180.5 80180.5 73731 80180.5 80180.5 80180.5 73754.8 80180.5 73731 80180.5 80180.5 73731 80180.5 80180.5 "SSB_1995" 1995
"47" 80517 89685.1 89685.2 89685.1 89685.1 83963 89685.1 64617.8 75634.1 84159.3 82101.3 89685.1 89685.1 83067.1 89685.1 89685.1 89685.1 56777.7 89685.1 89685.1 83963 89685.1 89685.1 89685.1 83042.1 89685.1 89685.1 89685.1 89685.2 89685.1 55439.7 89685.1 82101.3 89685.1 83067.1 89685.1 89685.1 89685.1 83042.1 89685.1 89685.1 89685.1 83067.1 89685.2 83042.1 89685.1 89685.1 83042.1 89685.1 89685.1 "SSB_1996" 1996
